Existing (Dormant)	TEHC International Pte Ltd	30	80	T0	Built environment	SG's oldest/largest landscaping company; 50+ yrs; golf course design + construction; Gardens by the Bay contractor; 4241 import shipments from 17 suppliers; paid up $6.5M; exporter to Malaysia/India/Vietnam	Y
Prospect	Song He Rice / Tong Seng Produce Pte Ltd	30	60	T0	Food trade	Leading SG rice importer since 1990; 9+ source countries; Singapore's only chilled rice warehouse; Most Trusted Brand (Rice) since 2010; Amazon Fresh + NTUC presence	Y
Prospect	Tong Seng Produce Pte Ltd	30	60	T0	Food trade	DUPLICATE - same entity as Song He Rice above	Y
Prospect	Wang-Fu	20	60	T0	Food trade	Global food & provisions importer; 80000 sq ft warehouse at Tuas; distributes dried foods to hotels/resorts/wholesalers across SEA/India/Africa	Y
Prospect	Eltraco International Group	20	50	T0	Built environment	Roofing/facades/thermal insulation group since 1977; multiple entities; paid up $2.6M; covered 1M+ sq metres of SG space	Y
Prospect	Rigel Group (Rigel Technology)	20	40	T0	Built environment	Smart sanitary/washroom tech; 112 employees; 3 continents/10+ countries; subsidiaries in China/Malaysia/Indonesia/Vietnam; raised $1.65M (Heliconia Capital); Changi Airport + MBS + Gardens by the Bay	Y
Prospect	Luxe Montre	10	40	T0	Consumer retail	Pre-owned luxury watches (Rolex/Patek/AP/Richard Mille); ASP $10K-$200K+ per watch	Y
Prospect	Thiam Aik Hardware & Machinery Co Pte Ltd	10	30	T0	Industrial trade	Structural/mild steel stockist since 1980; wholesale of metals and metal ores; Geylang Road	Y
Prospect	D Wall Pte Ltd	10	30	T0	Built environment	Dormitory operator + construction; 5 dormitories (Mandai/Woodlands/Sungei Kadut/Shaw Rd/Changi); clients incl Changi Airport + BCA + LTA; recruits workers from Bangladesh/India/Thailand	Y
Prospect	Jack's Place (JP Pepperdine)	13	13	T0	Food & beverage	RocketReach confirmed 2026; 13 outlets; Western steak chain since 1966	N
Prospect	JP Pepperdine Group	13	13	T0	Food & beverage	RocketReach confirmed 2026; 42 employees; parent holding group of Jack's Place	N
Existing (Dormant)	Min Feng Pte Ltd	5	20	T0	Food trade	Rice wholesale; incorporated 1996; 11 employees (up from 4 as at Jul 2025); paid up $500K; 38 yrs in rice	Y
Prospect	BBL Pte Ltd	5	20	T0	Consumer retail	Entity unconfirmed. If BBL Home Holding (furniture importer from Vietnam, 213 recorded shipments) then $5-20M plausible	Y
Prospect	Gold Plus Construction	5	20	T0	Built environment	Mid-tier SG construction; no public data	N
Prospect	Two Men Bagel House	5	10	T1	Food & beverage	5+ outlets (Tanjong Pagar/Novena/Holland V/Joo Chiat/Punggol); brand since 2014; Punggol Digital District outlet Apr 2026	N
Prospect	Mei De Coffeeshops & Canteens	3	10	T1	Food & beverage	Coffeeshop/canteen operator; multiple outlets likely; SG F&B typical $1-3M per outlet	N
